"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban","",NA,"03","Wilaya","District","",""
2,227,"TZA","Tanzania",1,"Arusha",2,"Arusha","TZ.AS.AS",NA,"06","Wilaya","District","",""
3,227,"TZA","Tanzania",1,"Arusha",3,"Karatu","TZ.AS.KA",NA,"04","Wilaya","District","",""
4,227,"TZA","Tanzania",1,"Arusha",4,"Lake Eyasi","",NA,"","Water body","Water body","",""
5,227,"TZA","Tanzania",1,"Arusha",5,"Lake Manyara","",NA,"","Water body","Water body","",""
6,227,"TZA","Tanzania",1,"Arusha",6,"Longido","",NA,"07","Wilaya","District","",""
7,227,"TZA","Tanzania",1,"Arusha",7,"Meru","",NA,"02","Wilaya","District","",""
8,227,"TZA","Tanzania",1,"Arusha",8,"Monduli","TZ.AS.MO",NA,"01","Wilaya","District","",""
9,227,"TZA","Tanzania",1,"Arusha",9,"Ngorongoro","TZ.AS.NG",NA,"05","Wilaya","District","",""
10,227,"TZA","Tanzania",2,"Dar es Salaam",10,"Ilala","TZ.DS.IL",NA,"02","Wilaya","District","",""
11,227,"TZA","Tanzania",2,"Dar es Salaam",11,"Kinondoni","TZ.DS.KI",NA,"01","Wilaya","District","",""
12,227,"TZA","Tanzania",2,"Dar es Salaam",12,"Temeke","TZ.DS.TE",NA,"03","Wilaya","District","",""
13,227,"TZA","Tanzania",3,"Dodoma",13,"Bahi","",NA,"06","Wilaya","District","",""
14,227,"TZA","Tanzania",3,"Dodoma",14,"Chamwino","",NA,"04","Wilaya","District","",""
15,227,"TZA","Tanzania",3,"Dodoma",15,"Chemba","",NA,"07","Wilaya","District","",""
16,227,"TZA","Tanzania",3,"Dodoma",16,"Dodoma Urban","TZ.DO.DU",NA,"05","Wilaya","District","","Dodoma Mjini"
17,227,"TZA","Tanzania",3,"Dodoma",17,"Kondoa","TZ.DO.KD",NA,"01","Wilaya","District","",""
18,227,"TZA","Tanzania",3,"Dodoma",18,"Kongwa","TZ.DO.KG",NA,"03","Wilaya","District","",""
19,227,"TZA","Tanzania",3,"Dodoma",19,"Mpwapwa","TZ.DO.MP",NA,"02","Wilaya","District","",""
20,227,"TZA","Tanzania",4,"Geita",20,"Bukombe","TZ.SH.BU",NA,"04","Wilaya","District","",""
21,227,"TZA","Tanzania",4,"Geita",21,"Chato","",NA,"05","Wilaya","District","",""
22,227,"TZA","Tanzania",4,"Geita",22,"Geita","TZ.MW.GE",NA,"01","Wilaya","District","",""
23,227,"TZA","Tanzania",4,"Geita",23,"Mbogwe","",NA,"03","Wilaya","District","",""
24,227,"TZA","Tanzania",4,"Geita",24,"Nyang'wale","",NA,"02","Wilaya","District","",""
25,227,"TZA","Tanzania",5,"Iringa",25,"Iringa Rural","TZ.IR.IR",NA,"01","Wilaya","District","",""
26,227,"TZA","Tanzania",5,"Iringa",26,"Iringa Urban","TZ.IR.IM",NA,"03","Wilaya","District","","Iringa Mjini"
27,227,"TZA","Tanzania",5,"Iringa",27,"Kilolo","TZ.IR.KI",NA,"04","Wilaya","District","",""
28,227,"TZA","Tanzania",5,"Iringa",28,"Mafinga Township Authority","",NA,"05","Wilaya","District","",""
29,227,"TZA","Tanzania",5,"Iringa",29,"Mufindi","TZ.IR.MU",NA,"02","Wilaya","District","",""
30,227,"TZA","Tanzania",6,"Kagera",30,"Biharamulo","TZ.KR.BI",NA,"04","Wilaya","District","",""
31,227,"TZA","Tanzania",6,"Kagera",31,"Bukoba Rural","TZ.KR.BR",NA,"02","Wilaya","District","",""
32,227,"TZA","Tanzania",6,"Kagera",32,"Bukoba Urban","TZ.KR.BU",NA,"06","Wilaya","District","",""
33,227,"TZA","Tanzania",6,"Kagera",33,"Karagwe","TZ.KR.KA",NA,"01","Wilaya","District","",""
34,227,"TZA","Tanzania",6,"Kagera",34,"Kyerwa","",NA,"08","Wilaya","District","",""
35,227,"TZA","Tanzania",6,"Kagera",35,"Lake Victoria","",NA,"","Water body","Water body","",""
36,227,"TZA","Tanzania",6,"Kagera",36,"Missenyi","",NA,"07","Wilaya","District","",""
37,227,"TZA","Tanzania",6,"Kagera",37,"Muleba","TZ.KR.MU",NA,"03","Wilaya","District","",""
38,227,"TZA","Tanzania",6,"Kagera",38,"Ngara","TZ.KR.NG",NA,"05","Wilaya","District","",""
39,227,"TZA","Tanzania",7,"Katavi",39,"Lake Rukwa","",NA,"","Water body","Water body","",""
40,227,"TZA","Tanzania",7,"Katavi",40,"Lake Tanganyika","",NA,"","Water body","Water body","",""
41,227,"TZA","Tanzania",7,"Katavi",41,"Mlele","",NA,"03","Wilaya","District","",""
42,227,"TZA","Tanzania",7,"Katavi",42,"Mpanda Urban","",NA,"01","Wilaya","District","",""
