"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo","UG.AD.EA",NA,"3011","County","County","",""
2,239,"UGA","Uganda",2,"Apac",2,"Kole","UG.AC.KL",NA,"3021","County","County","",""
3,239,"UGA","Uganda",2,"Apac",3,"Kwania","UG.AC.KA",NA,"3022","County","County","",""
4,239,"UGA","Uganda",2,"Apac",4,"Maruzi","UG.AC.MR",NA,"3023","County","County","",""
5,239,"UGA","Uganda",2,"Apac",5,"Oyam","UG.OY.OA",NA,"3024","County","County","",""
6,239,"UGA","Uganda",3,"Arua",6,"Arua Municipality","UG.AW.AU",NA,"3031","County","County","","Arua"
7,239,"UGA","Uganda",3,"Arua",7,"Ayivu","UG.AW.AY",NA,"3032","County","County","",""
8,239,"UGA","Uganda",3,"Arua",8,"Koboko","UG.OK.KB",NA,"3033","County","County","",""
9,239,"UGA","Uganda",3,"Arua",9,"Madi-Okollo","UG.AW.MD",NA,"3034","County","County","",""
10,239,"UGA","Uganda",3,"Arua",10,"Maracha","UG.MH.MR",NA,"3035","County","County","",""
11,239,"UGA","Uganda",3,"Arua",11,"Terego","UG.MH.TR",NA,"3036","County","County","",""
12,239,"UGA","Uganda",3,"Arua",12,"Vurra","UG.AW.VU",NA,"3037","County","County","",""
13,239,"UGA","Uganda",4,"Bugiri",13,"Bukooli","UG.BG.BK",NA,"2011","County","County","",""
14,239,"UGA","Uganda",5,"Bundibugyo",14,"Bwamba","UG.BN.BA",NA,"4011","County","County","",""
15,239,"UGA","Uganda",5,"Bundibugyo",15,"Ntoroko","UG.BN.NO",NA,"4012","County","County","","Ntoroka"
16,239,"UGA","Uganda",6,"Bushenyi",16,"Buhweju","",NA,"4021","County","County","",""
17,239,"UGA","Uganda",6,"Bushenyi",17,"Bunyaruguru","",NA,"4022","County","County","",""
18,239,"UGA","Uganda",6,"Bushenyi",18,"Igara","",NA,"2","County","County","",""
