WELL_ID,LAT_DD,LONG_DD,FUNC,STATUS,COD_FCN,COD_QTY,COD_RESRCE,ADM1,ADM2,ACTIVITY,COUNTRY,WATERSRC,WATERTECH,INSTALLED,MGMT,PAY,SOURCE,RPT_DATE
362092,5.98243600000,-8.18060900000,Yes,Working but with problems. Well polluted|Under construction,2,1,0,Grand Gedeh,Tchien,zmbpw,LR,Manual pump on hand-dug well,Vergnet,0,,No water committee,WASH Liberia,21/01/2011
362100,5.89920700000,-8.17331500000,Yes,Working but with problems. Well polluted|Under construction,2,1,0,Grand Gedeh,Tchien,z4ja5,LR,Manual pump on hand-dug well,Vergnet,1986,,No water committee,WASH Liberia,21/01/2011
357349,5.80215700000,-9.64571400000,Yes,Working but with problems. Not priming,2,1,0,Rivercess,Norwein,yjryl,LR,Manual pump on hand-dug well,Afridev,2008,,No water committee,WASH Liberia,02/02/2011
489514,-0.54110000000,34.37582000000,No,Drought|No operation in the dry season,999,0,1,Homa Bay,Mbita,Yao Oinga,KE,,Surface water,0,0,No payment system,Engineering Sciences & Global Development,24/01/2011
357595,5.71605500000,-9.61818700000,No,Broken Down System. low water table,0,1,1,Rivercess,Norwein,y1ccy,LR,Manual pump on hand-dug well,Afridev,2005,,No water committee,WASH Liberia,03/02/2011
489266,-0.73000000000,34.36600000000,No,No fuel|No operation at least once a week,2,1,0,Homa Bay,Ndhiwa,Water Kiosk,KE,,Gravity-fed communal standpipe,1995,Private Operator/Delegated Management,Per Bucket,Engineering Sciences & Global Development,18/02/2011
489625,-0.45033330000,34.00988000000,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Wakula Dispensary BH,KE,,Borehole with hand pump,0,Institutional Management,No payment system,Engineering Sciences & Global Development,02/10/2011
364570,5.23137800000,-9.14187300000,Yes,Working but with problems. Well polluted|Under construction,2,1,0,Sinoe,Sanquin Dist#2,v5dph,LR,Manual pump on hand-dug well,Afridev,2010,Community Management,Yes but only in case of breakdown,WASH Liberia,27/01/2011
361779,5.22513400000,-8.12149300000,Yes,Working but with problems. insufficient water,2,1,0,River Gee,Karforh,v42mh,LR,Manual pump on hand-dug well,Afridev,2009,,No water committee,WASH Liberia,18/02/2011
361780,5.22542200000,-8.11978700000,Yes,Working but with problems. insufficient water,2,1,0,River Gee,Karforh,v42mf,LR,Manual pump on hand-dug well,Afridev,2009,,No water committee,WASH Liberia,18/02/2011
365177,5.19074500000,-9.04373300000,Yes,Working but with problems. low pressure,2,1,0,Sinoe,Butaw,uwl9v,LR,Manual pump on hand-dug well,Afridev,2008,Community Management,Yes but only in case of breakdown,WASH Liberia,28/01/2011
489624,-0.48091670000,34.00989000000,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Mbita,Ugina Pri Sch B/H,KE,,Borehole with hand pump,0,Institutional Management,No payment system,Engineering Sciences & Global Development,02/09/2011
359723,5.02083800000,-7.66004500000,No,Broken Down System. low water,0,0,1,River Gee,Tuobo,tw4h8,LR,Manual pump on hand-dug well,Afridev,2009,,No water committee,WASH Liberia,07/02/2011
365567,4.99470600000,-7.89663000000,Yes,Working but with problems. Require Redigging|Require Redigging,2,0,1,Maryland,Gwelekpoken,tqk1k,LR,Manual pump on hand-dug well,Afridev,2010,Community Management,Never,WASH Liberia,29/01/2011
359873,6.38634000000,-10.75595900000,Yes,Working but with problems. low pressire,2,1,0,Montserrado,Greater Monrovia,tc6g15z,LR,Manual pump on hand-dug well,Afridev,2005,Other,No water committee,WASH Liberia,07/06/2011
359934,6.37943800000,-10.77505100000,Yes,Working but with problems. low pressure,2,1,0,Montserrado,Greater Monrovia,tb1d4km,LR,Manual pump on hand-dug well,Afridev,1993,Community Management,Yes but only in case of breakdown,WASH Liberia,07/06/2011
363124,6.33477700000,-10.79268200000,Yes,Working but with problems. water polluted,2,1,0,Montserrado,Greater Monrovia,t3n8dau,LR,Water Kiosk without elevated tank,Not a manual pump,2007,Other,No water committee,WASH Liberia,24/05/2011
362739,6.33367100000,-10.78514100000,Yes,Working but with problems. water pressure aways low,2,1,0,Montserrado,Greater Monrovia,t3goll7,LR,Water Kiosk without elevated tank,Not a manual pump,2009,Direct Government Operation,No water committee,WASH Liberia,23/05/2011
366595,6.32977100000,-10.75521800000,Yes,Working but with problems. low pressure,2,1,0,Montserrado,Greater Monrovia,t2tgork,LR,Manual pump on hand-dug well,Afridev,2010,Other,No water committee,WASH Liberia,31/05/2011
366548,6.32871600000,-10.75541100000,Yes,Working but with problems. Apron damaged|sticking,2,1,0,Montserrado,Greater Monrovia,t2nicpu,LR,Manual pump on hand-dug well,Afridev,2005,Other,No water committee,WASH Liberia,31/05/2011
363676,6.31097500000,-10.79856900000,Yes,Working but with problems. no water,0,1,0,Montserrado,Greater Monrovia,szpj7dd,LR,Water Kiosk with elevated tank,Not a manual pump,2004,Other,No water committee,WASH Liberia,25/05/2011
