WELL_ID,LAT_DD,LONG_DD,FUNC,STATUS,COD_FCN,COD_QTY,COD_RESRCE,ADM1,ADM2,ACTIVITY,COUNTRY,WATERSRC,WATERTECH,INSTALLED,MGMT,PAY,SOURCE,RPT_DATE,RPT_YEAR,BKDWN_YEAR,adminfail,mechfail,envfail,pollutionfail
489514,-0.5411,34.375820000000004,No,Drought|No operation in the dry season,999,0,1,Homa Bay,Mbita,Yao Oinga,KE,Not recorded,Surface water,0,0,No payment system,Engineering Sciences & Global Development,2011-01-24,2011.0,2011.0,0.0,0.0,1.0,0.0
489266,-0.73,34.366,No,No fuel|No operation at least once a week,2,1,0,Homa Bay,Ndhiwa,Water Kiosk,KE,Not recorded,Gravity-fed communal standpipe,1995,Private Operator/Delegated Management,Per Bucket,Engineering Sciences & Global Development,2011-02-18,2011.0,2011.0,1.0,0.0,0.0,0.0
489625,-0.45033329999999994,34.009879999999995,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Wakula Dispensary BH,KE,Not recorded,Borehole with hand pump,0,Institutional Management,No payment system,Engineering Sciences & Global Development,2011-02-10,2011.0,2011.0,0.0,0.0,1.0,0.0
489624,-0.48091670000000003,34.00989000000001,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Mbita,Ugina Pri Sch B/H,KE,Not recorded,Borehole with hand pump,0,Institutional Management,No payment system,Engineering Sciences & Global Development,2011-02-09,2011.0,2011.0,0.0,0.0,1.0,0.0
489544,-0.5503333,34.38775,No,Low yield|Normally operational,2,1,0,Homa Bay,Mbita,Soko Oyamo Spring,KE,Not recorded,Gravity-fed communal standpipe,0,Community Management,Per Month,Engineering Sciences & Global Development,2011-01-25,2011.0,2011.0,0.0,0.0,1.0,0.0
489510,-0.53025,34.349920000000004,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Soko Oluoch,KE,Not recorded,Unprotected spring,0,0,No payment system,Engineering Sciences & Global Development,2011-01-24,2011.0,2011.0,0.0,0.0,1.0,0.0
489698,-0.521,34.275529999999996,No,Low yield|Normally operational,2,1,0,Homa Bay,Mbita,Sigana WP,KE,Not recorded,Borehole with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,2011-01-20,2011.0,2011.0,0.0,0.0,1.0,0.0
489392,-0.5136,34.58433,No,Low yield|Normally operational,2,1,0,Homa Bay,,Oriwo B/H,KE,Not recorded,Borehole with hand pump,1987,Community Management,No payment system,Engineering Sciences & Global Development,2011-08-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489555,-0.5276666999999999,34.32032,No,Dry pan|No operation in the dry season,999,0,1,Homa Bay,Mbita,Ondiegi Water Pan,KE,Not recorded,Surface water,0,0,No payment system,Engineering Sciences & Global Development,2011-01-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489614,-0.7724833000000001,34.09305,No,Not constructed|No operation in the dry season,999,0,1,Homa Bay,Suba,Ogaka Borehole,KE,Not recorded,Borehole with hand pump,0,Community Management,No payment system,Engineering Sciences & Global Development,2011-03-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489613,-0.713,34.06566,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Nyenga Borehole,KE,Not recorded,Borehole with hand pump,1984,Community Management,No payment system,Engineering Sciences & Global Development,2011-03-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489325,-0.53215,34.492129999999996,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,,Nyakuru Well,KE,Not recorded,Protected dug well with hand pump,0,,No payment system,Engineering Sciences & Global Development,2011-11-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489303,-0.7893834,34.37457,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Ndhiwa,Nguku B,KE,Not recorded,Borehole with hand pump,0,,No payment system,Engineering Sciences & Global Development,2011-01-25,2011.0,2011.0,0.0,0.0,1.0,0.0
489537,-0.5515,34.22772,No,Dry pan|No operation in the dry season,999,0,1,Homa Bay,Suba,Mwosi WP,KE,Not recorded,Surface water,0,0,No payment system,Engineering Sciences & Global Development,2011-02-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489498,-0.5515,34.22772,No,Dry well|No operation in the dry season,999,1,1,Homa Bay,Suba,Mwosi Pan Well,KE,Not recorded,Protected dug well with hand pump,0,Community Management,No payment system,Engineering Sciences & Global Development,2011-02-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489493,-0.584,34.37962,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Miyal East SHG WP,KE,Not recorded,Protected dug well with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,2011-01-28,2011.0,2011.0,0.0,0.0,1.0,0.0
489611,-0.7407334,34.1011,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Miria Koga Borehole,KE,Not recorded,Borehole with hand pump,1996,Community Management,Per Month,Engineering Sciences & Global Development,2011-03-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489560,-0.56035,34.349920000000004,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Mbita,Min Arot S.H.G WP,KE,Not recorded,Borehole with hand pump,0,Community Management,Per Bucket,Engineering Sciences & Global Development,2011-01-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489610,-0.7562666,34.09534,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Lwanda Borehole,KE,Not recorded,Borehole with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,2011-03-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489432,-0.7427833,34.50333,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Ndhiwa,Luanda s/w,KE,Not recorded,Protected dug well with hand pump,2007,Community Management,Per Month,Engineering Sciences & Global Development,2011-06-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489608,-0.74105,34.09111,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Lak Nyiero Borehole,KE,Not recorded,Borehole with hand pump,1986,Community Management,No payment system,Engineering Sciences & Global Development,2011-03-26,2011.0,2011.0,0.0,0.0,1.0,0.0
486424,-0.15079,34.815298,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm631,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0,0.0,0.0,1.0,0.0
486001,-0.152561,34.825845,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm571,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0,0.0,0.0,1.0,0.0
486053,-0.141272,34.973165,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm039,KE,Protected dug well,Hand Pump|Afridev,2010,Community Management,None,Virtual Kenya,2012-08-15,2012.0,2012.0,0.0,0.0,1.0,0.0
486074,-0.15920299999999998,35.19883400000001,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm 523,KE,piped into dwelling/plot/yard,Surface pump|Electricity,2009,Other,35 KES/Meter3,Virtual Kenya,2012-06-15,2012.0,2012.0,0.0,0.0,1.0,0.0
486242,-0.14268499999999998,34.801937,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm 481,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-24,2012.0,2012.0,0.0,0.0,1.0,0.0
486293,-0.153919,34.822858000000004,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm 421,KE,Protected dug well,Hand Pump|Afridev,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-16,2012.0,2012.0,0.0,0.0,1.0,0.0
486370,-0.160247,34.828742,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm 381,KE,Protected dug well,Hand manual,2000,Private Individual/Delegated Management,None,Virtual Kenya,2012-08-05,2012.0,2012.0,0.0,0.0,1.0,0.0
486190,-0.15755999999999998,34.828131,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm 380,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-08-05,2012.0,2012.0,0.0,0.0,1.0,0.0
485791,-0.155879,34.834711999999996,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm 373,KE,Protected dug well,Hand manual,1988,Private Individual/Delegated Management,None,Virtual Kenya,2012-08-05,2012.0,2012.0,0.0,0.0,1.0,0.0
489540,-0.51795,34.378679999999996,No,Dried|No operation in the dry season,999,0,1,Homa Bay,Mbita,Kopiyo Dam (Rakera),KE,Not recorded,Surface water,0,Community Management,No payment system,Engineering Sciences & Global Development,2011-01-25,2011.0,2011.0,0.0,0.0,1.0,0.0
489504,-0.39891,34.19279,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Kolo Water Point,KE,Not recorded,Protected dug well with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,2011-03-22,2011.0,2011.0,0.0,0.0,1.0,0.0
484504,-2.33022596,36.63739869,No,Non- Functional|Dry/Low yield,0,0,1,,,Kjd211,KE,Tube well or borehole,Submersible pump|Diesel,1982,Community Management,None,Virtual Kenya,2012-10-25,2012.0,2012.0,0.0,0.0,1.0,0.0
484766,-2.53109234,36.8191666,No,Non- Functional|Left after road constraction,0,1,0,,,Kjd135,KE,Tube well or borehole,Submersible pump|Electricity,2009,Community Management,None,Virtual Kenya,2012-10-16,2012.0,2012.0,0.0,0.0,0.0,0.0
484677,-1.45486042,36.90042801,No,Non- Functional|Dry/Low yield,0,0,1,,,Kjd 561,KE,Tube well or borehole,Submersible pump|Diesel,2009,Community Management,None,Virtual Kenya,2012-12-27,2012.0,2012.0,0.0,0.0,1.0,0.0
484613,-2.27377428,36.81260614,No,Non- Functional|Dry/Low yield,0,0,1,,,Kjd 077,KE,Tube well or borehole,Submersible pump|Diesel,1950,Community Management,None,Virtual Kenya,2012-06-21,2012.0,2012.0,0.0,0.0,1.0,0.0
489623,-0.4946167,34.02243,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Kitenyi Pry SCh Well,KE,Not recorded,Protected dug well with hand pump,2010,Institutional Management,No payment system,Engineering Sciences & Global Development,2011-02-09,2011.0,2011.0,0.0,0.0,1.0,0.0
489619,-0.49208329999999995,34.03427,No,Low yield|Normally operational,2,1,0,Homa Bay,Mbita,Kitawi Beach Dug Well,KE,Not recorded,Protected dug well with hand pump,0,0,No payment system,Engineering Sciences & Global Development,2011-02-09,2011.0,2011.0,0.0,0.0,1.0,0.0
489601,-0.6614,34.13635,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Kiembe b,KE,Not recorded,Borehole with hand pump,1992,Community Management,No payment system,Engineering Sciences & Global Development,2011-03-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489024,-1.23466977,36.59905481,No,Non- Functional|Dry/Low yield,0,0,1,,,kbu1397,KE,Tube well or borehole,Submersible pump|Electricity,1987,Other,5 KES/20L Jerrican,Virtual Kenya,2012-10-30,2012.0,2012.0,0.0,0.0,1.0,0.0
488995,-1.17032851,36.65898126,No,Non- Functional|less client,0,1,0,,,kbu1373,KE,Protected Spring,Surface pump|Electricity,2005,Community Management,per 20L Jerrican,Virtual Kenya,2012-10-25,2012.0,2012.0,0.0,0.0,0.0,0.0
489401,-0.5120667,34.624,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,,Kawadhare Well,KE,Not recorded,Protected dug well with hand pump,2000,Community Management,No payment system,Engineering Sciences & Global Development,2011-10-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489523,-0.5544,34.25322,No,Dry pan|No operation in the dry season,999,0,1,Homa Bay,Suba,Kaugo Water Pan,KE,Not recorded,Surface water,0,0,No payment system,Engineering Sciences & Global Development,2011-02-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489506,-0.40256,34.15974,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Kasoja,KE,Not recorded,Protected dug well with hand pump,0,Community Management,No payment system,Engineering Sciences & Global Development,2011-03-22,2011.0,2011.0,0.0,0.0,1.0,0.0
489566,-0.6096666000000001,34.32775,No,Dry pan|No operation in the dry season,999,0,1,Homa Bay,Mbita,Kamagak Water Pan,KE,Not recorded,Surface water,0,0,No payment system,Engineering Sciences & Global Development,2011-01-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489353,-0.6875167,34.4122,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Ndhiwa,Ka Tobias,KE,Not recorded,Protected dug well with hand pump,1997,,No payment system,Engineering Sciences & Global Development,2011-01-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489556,-0.5398,34.31447,No,Dried|No operation in the dry season,999,0,1,Homa Bay,Mbita,Harambee WP Rapora,KE,Not recorded,Surface water,0,Community Management,No payment system,Engineering Sciences & Global Development,2011-01-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489282,-0.8358167,34.3798,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Ndhiwa,Gul Kopondo Well,KE,Not recorded,Protected dug well with hand pump,2002,,No payment system,Engineering Sciences & Global Development,2011-01-25,2011.0,2011.0,0.0,0.0,1.0,0.0
489697,-0.5367166,34.26015,No,Dry|No operation in the dry season,999,0,1,Homa Bay,Mbita,Gorogoro WP,KE,Not recorded,Surface water,0,0,No payment system,Engineering Sciences & Global Development,2011-01-25,2011.0,2011.0,0.0,0.0,1.0,0.0
489661,-0.52265,34.250890000000005,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Gogo spring,KE,Not recorded,Protected spring,0,0,No payment system,Engineering Sciences & Global Development,2011-01-20,2011.0,2011.0,0.0,0.0,1.0,0.0
485457,-0.489291,37.605467,No,Non functional|Dry or low yielding,0,0,1,Embu,Embu East,EMBU 660,KE,Protected dug well,Hand pump|Afridev,2000,Community Management,None,Virtual Kenya,2012-12-12,2012.0,2012.0,0.0,0.0,1.0,0.0
485442,-0.508192,37.650207,No,Non functional|Dry or low yielding,0,0,1,Embu,Embu east,EMBU 644,KE,Protected dug well,Hand pump|Afridev,2009,Institutional Management,None,Virtual Kenya,2012-11-12,2012.0,2012.0,0.0,0.0,1.0,0.0
485265,-0.833865,37.386932,No,Non functional|Dry or low yielding,0,0,1,Embu,Mbeere south,EMBU 467,KE,Tubewell or borehole,Others|Other|not equipped|,2009,Institutional Management,None,Virtual Kenya,2012-07-25,2012.0,2012.0,0.0,0.0,1.0,0.0
485207,-0.795096,37.42919000000001,No,Non functional|Dry or low yielding,0,0,1,Embu,Mbeere south,EMBU 408,KE,Tubewell or borehole,Hand pump,1984,Institutional Management,,Virtual Kenya,2012-07-22,2012.0,2012.0,0.0,0.0,1.0,0.0
485099,-0.6142770000000001,37.52153300000001,No,Non functional|Dry or low yielding,0,0,1,Embu,Mbeere south,EMBU 299,KE,Dam or pan,Not recorded,2011,0,,Virtual Kenya,2012-05-06,2012.0,2012.0,0.0,0.0,1.0,0.0
484930,-0.7178140000000001,37.662109,No,Non functional|Dry or low yielding,0,0,1,Embu,Mbeere south,EMBU 128,KE,Tubewell or borehole,Submersible pump|Electricity,1999,0,,Virtual Kenya,2012-05-22,2012.0,2012.0,0.0,0.0,1.0,0.0
484924,-0.717252,37.662499,No,Non functional|Dry or low yielding,0,0,1,Embu,Mbeere south,EMBU 122,KE,Tubewell or borehole,Submersible pump|Electricity,1976,Institutional Management,,Virtual Kenya,2012-05-22,2012.0,2012.0,0.0,0.0,1.0,0.0
484822,-0.730344,37.750084,No,Non functional|Dry or low yielding,0,0,1,Embu,Mbeere south,EMBU 021,KE,Protected dug well,Hand manual,2009,Private Individual/Delegated Management,,Virtual Kenya,2012-05-15,2012.0,2012.0,0.0,0.0,1.0,0.0
489574,-0.5536833000000001,34.19125,No,Dry pan|No operation in the dry season,999,0,1,Homa Bay,Suba,Dei Water Pan,KE,Not recorded,Surface water,0,Community Management,No payment system,Engineering Sciences & Global Development,2011-02-03,2011.0,2011.0,0.0,0.0,1.0,0.0
489543,-0.5454167,34.39715,No,Dried|No operation in the dry season,999,0,1,Homa Bay,Mbita,Aringo Dam,KE,Not recorded,Surface water,0,Community Management,Livestock,Engineering Sciences & Global Development,2011-01-25,2011.0,2011.0,0.0,0.0,1.0,0.0
487440,0.22896100000000005,34.106976,No,Non- Functional|Dry/Low yield,0,0,1,,,997692,KE,Protected Spring,Gravity,2006,0,None,Virtual Kenya,2012-05-05,2012.0,2012.0,0.0,0.0,1.0,0.0
487556,0.265424,34.140527,No,Non- Functional|Dry/Low yield,0,0,1,,,997182,KE,Protected Spring,Gravity,1980,0,None,Virtual Kenya,2012-04-17,2012.0,2012.0,0.0,0.0,1.0,0.0
487447,0.21444000000000002,34.110436,No,Non- Functional|Dry/Low yield,0,0,1,,,996102,KE,Public tap/standpipe (stand alone or water kiosk,surface pump|Electricity,2005,Direct Government Operation,2 KES/20L Jerrican,Virtual Kenya,2012-04-13,2012.0,2012.0,0.0,0.0,1.0,0.0
488067,0.303994,34.058173,No,Non- Functional|Dry/Low yield|unknown,0,1,1,,,992228,KE,Tube well or borehole,Hand Pump|Afridev,2010,0,None,Virtual Kenya,2012-04-20,2012.0,2012.0,0.0,0.0,1.0,0.0
488469,0.388317,34.241792,No,Non- Functional|Dry/Low yield,0,0,1,,,988524,KE,Protected dug well,Hand Pump|Afridev,2008,Institutional Management,After System Breakdown,Virtual Kenya,2012-07-26,2012.0,2012.0,0.0,0.0,1.0,0.0
488488,0.388164,34.204658,No,Non- Functional|Dry/Low yield,0,0,1,,,985250,KE,Protected dug well,Hand Pump|Afridev,2008,Community Management,None,Virtual Kenya,2012-07-25,2012.0,2012.0,0.0,0.0,1.0,0.0
488404,0.06427999999999999,33.999438,No,Non- Functional|Dry/Low yield,0,0,1,,,984020,KE,Protected dug well,Hand Pump|Afridev,2007,0,None,Virtual Kenya,2012-09-05,2012.0,2012.0,0.0,0.0,1.0,0.0
488403,0.064064,33.999241999999995,No,Non- Functional|Dry/Low yield,0,0,1,,,983025,KE,Protected dug well,Hand Pump|nira 85,1989,0,None,Virtual Kenya,2012-09-05,2012.0,2012.0,0.0,0.0,1.0,0.0
