WELL_ID,LAT_DD,LONG_DD,FUNC,STATUS,COD_FCN,COD_QTY,COD_RESRCE,ADM1,ADM2,ACTIVITY,COUNTRY,WATERSRC,WATERTECH,INSTALLED,MGMT,PAY,SOURCE,RPT_DATE,RPT_YEAR,BKDWN_YEAR,adminfail,mechfail,envfail,pollutionfail
489514,-0.5411,34.375820000000004,No,Drought|No operation in the dry season,999,0,1,Homa Bay,Mbita,Yao Oinga,KE,Not recorded,Surface water,0,0,No payment system,Engineering Sciences & Global Development,2011-01-24,2011.0,2011.0,0.0,0.0,1.0,0.0
489266,-0.73,34.366,No,No fuel|No operation at least once a week,2,1,0,Homa Bay,Ndhiwa,Water Kiosk,KE,Not recorded,Gravity-fed communal standpipe,1995,Private Operator/Delegated Management,Per Bucket,Engineering Sciences & Global Development,2011-02-18,2011.0,2011.0,1.0,0.0,0.0,0.0
489625,-0.4503333,34.009879999999995,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Wakula Dispensary BH,KE,Not recorded,Borehole with hand pump,0,Institutional Management,No payment system,Engineering Sciences & Global Development,2011-02-10,2011.0,2011.0,0.0,0.0,1.0,0.0
489624,-0.4809167,34.00989000000001,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Mbita,Ugina Pri Sch B/H,KE,Not recorded,Borehole with hand pump,0,Institutional Management,No payment system,Engineering Sciences & Global Development,2011-02-09,2011.0,2011.0,0.0,0.0,1.0,0.0
489544,-0.5503333,34.38775,No,Low yield|Normally operational,2,1,0,Homa Bay,Mbita,Soko Oyamo Spring,KE,Not recorded,Gravity-fed communal standpipe,0,Community Management,Per Month,Engineering Sciences & Global Development,2011-01-25,2011.0,2011.0,0.0,0.0,1.0,0.0
489510,-0.53025,34.349920000000004,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Soko Oluoch,KE,Not recorded,Unprotected spring,0,0,No payment system,Engineering Sciences & Global Development,2011-01-24,2011.0,2011.0,0.0,0.0,1.0,0.0
489698,-0.521,34.27553,No,Low yield|Normally operational,2,1,0,Homa Bay,Mbita,Sigana WP,KE,Not recorded,Borehole with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,2011-01-20,2011.0,2011.0,0.0,0.0,1.0,0.0
489716,-0.7335166999999999,34.19025,Yes,No operation in the dry season,2,0,1,Homa Bay,Suba,Seka Water Spring,KE,Not recorded,Gravity-fed communal standpipe,2005,Community Management,Per Month,Engineering Sciences & Global Development,2011-02-04,2011.0,2011.0,0.0,0.0,1.0,0.0
489474,-0.6313,34.45932,Yes,In the dry season,2,0,1,Homa Bay,,Ruga Primary School,KE,Not recorded,Borehole with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,2011-03-24,2011.0,2011.0,0.0,0.0,1.0,0.0
489357,-0.65085,34.40688,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Ramoya B well,KE,Not recorded,Protected dug well with hand pump,0,,No payment system,Engineering Sciences & Global Development,2011-01-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489358,-0.6424333000000001,34.39413,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Ramoya A well,KE,Not recorded,Protected dug well with hand pump,2000,Direct Government  Operation,No payment system,Engineering Sciences & Global Development,2011-01-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489483,-0.6180667,34.49038,Yes,In the dry season,2,0,1,Homa Bay,,Pundo Shallow Well,KE,Not recorded,Protected dug well with hand pump,1996,Community Management,Per Month,Engineering Sciences & Global Development,2011-03-25,2011.0,2011.0,0.0,0.0,1.0,0.0
489168,-1.05348173,37.07744713,Yes,Functional ( in use),1,1,0,,,p.mwangi,KE,Public tap/standpipe (stand alone or water kiosk,Hand manual|Hand (manual),2011,Private Individual/Delegated Management,3 KES/20L Jerrican,Virtual Kenya,2012-11-10,2012.0,2012.0,0.0,0.0,0.0,0.0
489375,-0.5371333,34.5913,Yes,In the dry season,2,0,1,Homa Bay,,Othoro S/W,KE,Not recorded,Protected dug well with hand pump,1995,Community Management,Per Month,Engineering Sciences & Global Development,2011-09-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489392,-0.5136,34.58433,No,Low yield|Normally operational,2,1,0,Homa Bay,,Oriwo B/H,KE,Not recorded,Borehole with hand pump,1987,Community Management,No payment system,Engineering Sciences & Global Development,2011-08-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489288,-0.7747833000000001,34.38263,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Oridi B Well,KE,Not recorded,Protected dug well with hand pump,2005,Community Management,Per Month,Engineering Sciences & Global Development,2011-01-27,2011.0,2011.0,0.0,0.0,1.0,0.0
489555,-0.5276666999999999,34.32032,No,Dry pan|No operation in the dry season,999,0,1,Homa Bay,Mbita,Ondiegi Water Pan,KE,Not recorded,Surface water,0,0,No payment system,Engineering Sciences & Global Development,2011-01-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489255,-0.7465833000000001,34.24483,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Ogwande B Well,KE,Not recorded,Protected dug well with hand pump,1985,Community Management,Per Month,Engineering Sciences & Global Development,2011-01-19,2011.0,2011.0,0.0,0.0,1.0,0.0
489614,-0.7724833000000001,34.09305,No,Not constructed|No operation in the dry season,999,0,1,Homa Bay,Suba,Ogaka Borehole,KE,Not recorded,Borehole with hand pump,0,Community Management,No payment system,Engineering Sciences & Global Development,2011-03-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489613,-0.713,34.06566,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Nyenga Borehole,KE,Not recorded,Borehole with hand pump,1984,Community Management,No payment system,Engineering Sciences & Global Development,2011-03-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489292,-0.753,34.36217,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Nyamware Well,KE,Not recorded,Protected dug well with hand pump,2001,Community Management,Per Month,Engineering Sciences & Global Development,2011-01-27,2011.0,2011.0,0.0,0.0,1.0,0.0
489589,-0.59336,34.182970000000005,Yes,No operation in the dry season,2,0,1,Homa Bay,Suba,Nyambunamo,KE,Not recorded,Gravity-fed communal standpipe,2002,Community Management,Per Month,Engineering Sciences & Global Development,2011-03-25,2011.0,2011.0,0.0,0.0,1.0,0.0
489325,-0.53215,34.49213,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,,Nyakuru Well,KE,Not recorded,Protected dug well with hand pump,0,,No payment system,Engineering Sciences & Global Development,2011-11-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489363,-0.6919,34.4333,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Nyakorombe,KE,Not recorded,Unprotected dug well,1997,,No payment system,Engineering Sciences & Global Development,2011-02-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489529,-0.6309,34.244170000000004,Yes,No operation in the dry season,2,0,1,Homa Bay,Suba,Nyadenda Water Pan,KE,Not recorded,Surface water,0,Community Management,No payment system,Engineering Sciences & Global Development,2011-02-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489303,-0.7893834,34.37457,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Ndhiwa,Nguku B,KE,Not recorded,Borehole with hand pump,0,,No payment system,Engineering Sciences & Global Development,2011-01-25,2011.0,2011.0,0.0,0.0,1.0,0.0
489537,-0.5515,34.22772,No,Dry pan|No operation in the dry season,999,0,1,Homa Bay,Suba,Mwosi WP,KE,Not recorded,Surface water,0,0,No payment system,Engineering Sciences & Global Development,2011-02-02,2011.0,2011.0,0.0,0.0,1.0,0.0
489498,-0.5515,34.22772,No,Dry well|No operation in the dry season,999,1,1,Homa Bay,Suba,Mwosi Pan Well,KE,Not recorded,Protected dug well with hand pump,0,Community Management,No payment system,Engineering Sciences & Global Development,2011-02-02,2011.0,2011.0,0.0,0.0,1.0,0.0
484426,-3.0500557999999995,37.71928712,Yes,Functional ( in use),1,1,0,,,Mutuku,KE,Protected dug well,Hand Pump|Afridev,2003,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-20,2012.0,2012.0,0.0,0.0,0.0,0.0
489493,-0.584,34.37962,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Miyal East SHG WP,KE,Not recorded,Protected dug well with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,2011-01-28,2011.0,2011.0,0.0,0.0,1.0,0.0
489611,-0.7407334,34.1011,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Miria Koga Borehole,KE,Not recorded,Borehole with hand pump,1996,Community Management,Per Month,Engineering Sciences & Global Development,2011-03-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489560,-0.56035,34.349920000000004,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Mbita,Min Arot S.H.G WP,KE,Not recorded,Borehole with hand pump,0,Community Management,Per Bucket,Engineering Sciences & Global Development,2011-01-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489610,-0.7562666,34.09534,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Lwanda Borehole,KE,Not recorded,Borehole with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,2011-03-26,2011.0,2011.0,0.0,0.0,1.0,0.0
489432,-0.7427833,34.50333,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Ndhiwa,Luanda s/w,KE,Not recorded,Protected dug well with hand pump,2007,Community Management,Per Month,Engineering Sciences & Global Development,2011-06-02,2011.0,2011.0,0.0,0.0,1.0,0.0
486764,-0.109385,34.51458,Yes,Functional ( in use),1,1,0,,,lksm288,KE,Tube well or borehole,Hand Pump|Afridev,2003,Community Management,2 KES/Meter3,Virtual Kenya,2012-04-25,2012.0,2012.0,0.0,0.0,0.0,0.0
486763,-0.109385,34.51458,Yes,Functional ( in use),1,1,0,,,lksm288,KE,Tube well or borehole,Hand Pump|Afridev,2003,Community Management,2 KES/Meter3,Virtual Kenya,2012-04-25,2012.0,2012.0,0.0,0.0,0.0,0.0
486459,-0.165694,34.843824,Yes,Functional ( in use),1,1,0,,,lk,KE,Protected dug well,Hand Pump|India Mark II,1978,Private Individual/Delegated Management,1 KES/20L Jerrican,Virtual Kenya,2012-04-23,2012.0,2012.0,0.0,0.0,0.0,0.0
489608,-0.74105,34.09111,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Lak Nyiero Borehole,KE,Not recorded,Borehole with hand pump,1986,Community Management,No payment system,Engineering Sciences & Global Development,2011-03-26,2011.0,2011.0,0.0,0.0,1.0,0.0
485802,-0.03715,34.638082,Yes,Functional ( in use),1,1,0,,,kzm300,KE,Tube well or borehole,Submersible pump,2006,Institutional Management,None,Virtual Kenya,2012-04-26,2012.0,2012.0,0.0,0.0,0.0,0.0
485801,-0.03715,34.638082,Yes,Functional ( in use),1,1,0,,,kzm300,KE,Tube well or borehole,Submersible pump,2006,Institutional Management,None,Virtual Kenya,2012-04-26,2012.0,2012.0,0.0,0.0,0.0,0.0
486214,-0.031702999999999995,34.522523,Yes,Functional ( in use),1,1,0,,,ksw 275,KE,Unprotected dug well,Not recorded,2011,Community Management,2 KES/Meter3,Virtual Kenya,2012-04-23,2012.0,2012.0,0.0,0.0,0.0,0.0
486215,-0.031702999999999995,34.522523,Yes,Functional ( in use),1,1,0,,,ksw 275,KE,Unprotected dug well,Not recorded,2011,Community Management,2 KES/Meter3,Virtual Kenya,2012-04-23,2012.0,2012.0,0.0,0.0,0.0,0.0
486183,-0.175293,34.92578,Yes,Functional ( in use),1,1,0,,,ksmz,KE,piped into dwelling/plot/yard,Gravity|Electricity,2009,Private Individual/Delegated Management,35 KES/Meter3,Virtual Kenya,2012-08-05,2012.0,2012.0,0.0,0.0,0.0,0.0
486197,-0.15798199999999998,34.825099,Yes,Functional ( in use),1,1,0,,,ksm643,KE,Protected dug well,Hand manual,2006,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0,0.0,0.0,0.0,0.0
486299,-0.157972,34.82502,Yes,Functional ( in use),1,1,0,,,ksm642,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0,0.0,0.0,0.0,0.0
486382,-0.15921300000000002,34.824715999999995,Yes,Functional ( in use),1,1,0,,,ksm641,KE,Protected dug well,Submersible pump|Electricity,1989,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0,0.0,0.0,0.0,0.0
486238,-0.158572,34.824465000000004,Yes,Functional ( in use),1,1,0,,,ksm640,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0,0.0,0.0,0.0,0.0
486410,-0.157406,34.825579,Yes,Functional ( in use),1,1,0,,,ksm639,KE,Protected dug well,Hand manual,2003,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0,0.0,0.0,0.0,0.0
485891,-0.15748099999999998,34.824347,Yes,Functional ( in use),1,1,0,,,ksm638,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0,0.0,0.0,0.0,0.0
486297,-0.156643,34.824144,Yes,Functional ( in use),1,1,0,,,ksm637,KE,Protected dug well,Submersible pump|Electricity,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0,0.0,0.0,0.0,0.0
486296,-0.156631,34.824067,Yes,Functional ( in use),1,1,0,,,ksm636,KE,Protected dug well,Hand manual,1998,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0,0.0,0.0,0.0,0.0
486388,-0.151575,34.813542,Yes,Functional ( in use),1,1,0,,,ksm635,KE,Protected dug well,Hand Pump|Afridev,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0,0.0,0.0,0.0,0.0
486428,-0.150574,34.812191,Yes,Functional ( in use),1,1,0,,,ksm634,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0,0.0,0.0,0.0,0.0
486137,-0.150568,34.812063,Yes,Functional ( in use),1,1,0,,,ksm633,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0,0.0,0.0,0.0,0.0
486435,-0.14976,34.811954,Yes,Functional ( in use),1,1,0,,,ksm632,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0,0.0,0.0,0.0,0.0
486424,-0.15079,34.815298,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm631,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0,0.0,0.0,1.0,0.0
486206,-0.149505,34.815849,Yes,Functional ( in use),1,1,0,,,ksm630,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0,0.0,0.0,0.0,0.0
486576,-0.148674,34.815527,Yes,Functional ( in use),1,1,0,,,ksm629,KE,Protected dug well,Hand Pump|Afridev,2005,Community Management,2 KES/20L Jerrican,Virtual Kenya,2012-06-13,2012.0,2012.0,0.0,0.0,0.0,0.0
486259,-0.148215,34.814541,Yes,Functional ( in use),1,1,0,,,ksm628,KE,Protected dug well,Hand Pump|Afridev,2005,Private Individual/Delegated Management,2 KES/20L Jerrican,Virtual Kenya,2012-06-13,2012.0,2012.0,0.0,0.0,0.0,0.0
486651,-0.14819300000000002,34.814488,Yes,Functional ( in use),1,1,0,,,ksm627,KE,Protected dug well,Hand Pump|Afridev,2005,Community Management,2 KES/20L Jerrican,Virtual Kenya,2012-06-13,2012.0,2012.0,0.0,0.0,0.0,0.0
486119,-0.150694,34.814297,Yes,Functional ( in use),1,1,0,,,ksm626,KE,Dam/Pan(runoff harvesting),Not recorded,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0,0.0,0.0,0.0,0.0
486284,-0.142443,34.88774,Yes,Functional ( in use),1,1,0,,,ksm625,KE,Protected dug well,Hand Pump|Afridev,1992,Private Individual/Delegated Management,2 KES/20L Jerrican,Virtual Kenya,2012-08-06,2012.0,2012.0,0.0,0.0,0.0,0.0
486345,-0.140552,34.891812,Yes,Functional ( in use),1,1,0,,,ksm609,KE,Unprotected dug well,Not recorded,1980,Private Individual/Delegated Management,1 KES/20L Jerrican,Virtual Kenya,2012-08-06,2012.0,2012.0,0.0,0.0,0.0,0.0
486236,-0.15371,34.819893,Yes,Functional ( in use),1,1,0,,,ksm608,KE,Tube well or borehole,Submersible pump|Electricity,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-07-06,2012.0,2012.0,0.0,0.0,0.0,0.0
486195,-0.153745,34.81984,Yes,Functional ( in use),1,1,0,,,ksm608,KE,Protected dug well,Hand manual,2008,Private Individual/Delegated Management,None,Virtual Kenya,2012-07-06,2012.0,2012.0,0.0,0.0,0.0,0.0
486335,-0.152801,34.818873,Yes,Functional ( in use),1,1,0,,,ksm605,KE,Protected dug well,Hand manual,1998,Private Individual/Delegated Management,2 KES/20L Jerrican,Virtual Kenya,2012-07-06,2012.0,2012.0,0.0,0.0,0.0,0.0
486109,-0.142951,34.79995,Yes,Functional ( in use),1,1,0,,,ksm604,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-07-06,2012.0,2012.0,0.0,0.0,0.0,0.0
486278,-0.14302,34.799944,Yes,Functional ( in use),1,1,0,,,ksm603,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-07-06,2012.0,2012.0,0.0,0.0,0.0,0.0
486787,-0.139829,34.891907,Yes,Functional ( in use),1,1,0,,,ksm602,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0,0.0,0.0,0.0,0.0
